file,filename,version_id,has_definition_in_DD,has_script,script_chars,extraction_pending,n_inputs,loads_ok,shape,recompute_verified,reproducible_status,caveat
raw_DE_stats,DE_stats.suppl_table.csv,11c6348b-f46d-48a3-8c22-7ae328f40c6c,False,True,334,False,0,True,"(33983, 16)",False,,Primary raw input (Perturbase suppl table); no upstream inputs by design. NOT defined in DATA_DICTIONARY.
curated_targets,curated_targets.csv,506b62e3-4ad0-42a0-ac4d-b779a31f8121,False,True,871,False,1,True,"(33983, 18)",False,,Derived from raw_DE_stats. NOT defined in DATA_DICTIONARY.
effect_matrix,effect_matrix.csv,e168ccb9-6d5d-427c-a5cf-93f388492f2f,False,True,1073,False,1,True,"(11526, 4)",False,,Pivot of raw. NOT defined in DATA_DICTIONARY.
de_matrix,de_matrix.csv,a58b4ba0-da04-46b9-9ad2-21a3e632615c,False,True,1053,False,1,True,"(11526, 4)",False,,Pivot of raw. NOT defined in DATA_DICTIONARY.
gate_passing,gate_passing_targets.csv,024cefa5-3a8f-4e4e-b82a-51f356a03960,False,True,883,False,1,True,"(2131, 18)",True,"REPRODUCED_EXACT (max abs diff 0.0, 0 mismatches, offline)",Fully reproduced offline. NOT defined in DATA_DICTIONARY (defined only via inline lineage code).
summary_statistics,summary_statistics.csv,419a18fa-4229-4b87-a373-1de23f79952d,False,True,2710,False,1,True,"(18, 2)",True,"REPRODUCED_EXACT (max abs diff 0.0, 18/18 metrics, offline)",Fully reproduced offline. NOT defined in DATA_DICTIONARY.
condition_stats,condition_stats.csv,aeb64a9d-02e2-4e32-98d4-0c49a525db1c,False,True,1150,False,1,True,"(3, 4)",False,,Derived from raw. NOT defined in DATA_DICTIONARY; NOT recompute-verified this audit (not in scope).
signed_ranking_v2,signed_ranking_v2.csv,729315c2-a086-4988-a12c-ecf15a1b5ffb,True,True,3901,False,5,True,"(10851, 28)",True,"REPRODUCED (26 offline cols; int/label exact, float <=4.4e-16; via reproduce_signed_tracks.py NOT captured lineage; in_gate_shortlist EXTERNAL)","Captured lineage is the SUPERSEDED script (13 cols, DI>0.1 rule). Correct reproduction uses separate artifact reproduce_signed_tracks.py. in_gate_shortlist is EXTERNAL (gate input); signed_rank intra-tie order not recoverable."
downstream_enrichment_v2,downstream_enrichment_v2.csv,c454a7d1-11f0-49f1-94a6-f8bc692e682b,True,True,8788,False,4,True,"(12975, 10)",False,,p_value/fdr/query_size reproduce offline; pathway_id/name/overlap EXTERNAL (live Reactome); pathway_size_bg SNAPSHOT; expression_artifact_flag CURATED (non-recomputable). Reactome snapshot is an external dependency.
lincs_concordance,lincs_concordance.csv,be0150d9-d316-4f49-bfd7-b2fe82d0f999,True,True,2116,False,3,True,"(4, 6)",False,,DEMO-level (4 rows). Numeric cols reproduce; caveat is free-text GIVEN. Depends on lincs_demo_signatures_4genes.csv input.
