category,component,type,identifier,version,source_url_or_id,produced_by,notes
data_source,GWT CD4 Perturb-seq (primary),primary_dataset,gwt_marson2025,DATASET_VERSION=gwt_marson2025/bioRxiv-10.64898-2025.12.23.696273v1,bioRxiv 10.64898/2025.12.23.696273 | SRA SRP643211 | GEO GSE314342 | CZI VCP,upstream (consumed not recomputed),4 donors x 3 conditions x 2 runs
data_source,DE_stats.suppl_table.csv,suppl_table,DE_stats,data_version (per-build MD5),metadata/suppl_tables/DE_stats.suppl_table.csv,upstream DESeq2,33983 rows = 11526 targets x 3 conditions
data_source,guide_kd_efficiency.suppl_table.csv,suppl_table,guide_kd,data_version (per-build MD5),metadata/suppl_tables/guide_kd_efficiency.suppl_table.csv,upstream Welch t-test,73765 rows; NTC condition-matched
data_source,sgrna_library_metadata.suppl_table.csv,suppl_table,sgrna_library,data_version (per-build MD5),metadata/suppl_tables/sgrna_library_metadata.suppl_table.csv,upstream,guide design / TSS / off-target
data_source,sample_metadata.suppl_table.csv,suppl_table,sample_metadata,data_version (per-build MD5),metadata/suppl_tables/sample_metadata.suppl_table.csv,upstream,donor demographics + batch
data_source,cell-level h5ad (D*_*.assigned_guide),primary_dataset_deep,GWCD4i_cell,DATASET_VERSION,CZI VCP public S3,upstream,~1.7 TiB; not run in sandbox
data_source,Open Targets Platform,external_db,open_targets,external_evidence_cache/v1,https://platform.opentargets.org | PMID 39657122,evidence/external_cache.py + evidence/disease.py,tractability/genetics/drugs; 30-day TTL
data_source,ClinicalTrials.gov v2,external_db,clinicaltrials,external_evidence_cache/v1,https://clinicaltrials.gov,evidence/external_cache.py,trials by target/indication/phase
data_source,PubMed / PMC,external_db,pubmed,external_evidence_cache/v1,https://pubmed.ncbi.nlm.nih.gov,evidence/external_cache.py,literature evidence per gene
data_source,gnomAD v4,external_db,gnomad,-,https://gnomad.broadinstitute.org | PMID 32461654,evidence/safety_overlay.py,LOEUF/pLI; threshold 0.6
data_source,GTEx,external_db,gtex,-,https://gtexportal.org | PMID 32913098,evidence/safety_overlay.py,tissue expression safety window
data_source,LINCS/CMap L1000,external_db,lincs,-,https://clue.io | PMID 29195078,evidence/lincs_reference_cache.py,compound-reversal signatures
data_source,Reactome,external_db,reactome,pathway_network_cache/v1,https://reactome.org | PMID 34788843,evidence/pathway_cache.py + evidence/mechanism_graph.py,mechanism graph
data_source,STRING v12,external_db,string,pathway_network_cache/v1,https://string-db.org | PMID 36370105,evidence/pathway_cache.py + evidence/mechanism_graph.py,protein-protein associations
data_source,AlphaFold DB,external_db,alphafold,-,https://alphafold.ebi.ac.uk | PMID 34265844,committed .cif snapshots,broad-effect target structures
data_source,ChEMBL,external_db,chembl,-,https://www.ebi.ac.uk/chembl | PMID 37933841,evidence layer,bioactivity/mechanism/ADMET
data_source,CELLxGENE Census (CZI),external_db,cellxgene,-,https://cellxgene.cziscience.com | PMID 39607691,concept (external overlay),baseline expression/atlas context
data_source,Human Protein Atlas,in_repo_overlay,hpa,-,https://www.proteinatlas.org,metadata/rna_tissue_consensus.tsv.zip,tissue expression
data_source,broad_effect_genes.txt,in_repo_overlay,broad_effect,-,sources/broad_effect_genes.txt,EDA offenders + CORUM,239 genes; broad_effect red flag
data_source,core_essentials_hart.tsv,in_repo_overlay,hart_essentials,-,metadata/gene_lists/core_essentials_hart.tsv | PMID 26627737,Hart et al. 2015,essential-gene red flag
data_source,druggability class lists,in_repo_overlay,druggable_classes,-,metadata/gene_lists/*.tsv,curated,kinase/GPCR/enzyme/ion-channel/etc
data_source,GWAS catalog + ClinVar,in_repo_overlay,human_genetics,-,metadata/gene_lists/gwascatalog.tsv | clinvar_path_likelypath.tsv,curated,genetic support domain
data_source,IUIS-IEI list,in_repo_overlay,iuis_iei,-,metadata/IUIS-IEI-list-July-2024V2.csv,IUIS 2024,inborn errors of immunity
data_source,Open Targets disease associations,in_repo_overlay,ot_disease_assoc,-,metadata (Open Targets export),evidence/disease.py,13 indications / 7528 rows
data_source,Lambert 2018 Human TFs,in_repo_overlay,lambert_tf,-,metadata/Lambert_2018_HumanTF.csv | PMID 30290144,Lambert et al. 2018,transcription factor list
data_source,Freimer 2022 screen,in_repo_reference,freimer2022,-,metadata/Freimer2022_Screen.csv | PMID 36356142,external screen,T-cell effector screen cross-check
data_source,Schmidt 2022 screen,in_repo_reference,schmidt2022,-,metadata/Schmidt2022_hits_Supplementary_table_2.xlsx | PMID 35113687,external screen,CRISPRa/i primary T-cell
data_source,Arce 2024/2025 screen,in_repo_reference,arce,-,metadata/Arce2024_*.csv | Arce2025_Screen.csv,external screen,rest/activation
data_source,Weinstock et al. DE,in_repo_reference,weinstock,-,metadata/TableS4_weinstock_et_al_DE.csv | PMID 39395408,external,CD4 GRN
data_source,Replogle 2022 clusters,in_repo_reference,replogle2022,-,metadata/Replogle2022_TableS3_perturb_clusters.xlsx | PMID 35688146,external,genome-scale Perturb-seq
data_source,Tahoe-100M cell-line stats,in_repo_reference,tahoe100m,-,metadata/Tahoe100M_cellline_stats.csv,external,chemical perturbation atlas
algorithm,DESeq2 differential expression,statistical_test,deseq2,upstream,PMID 25516281 | DOI 10.1186/s13059-014-0550-8,upstream (pseudobulk),consumed not recomputed; 10% FDR
algorithm,Pseudobulk aggregation,pipeline_step,pseudobulk,upstream,de_and_baseline_spec.md,upstream,unit = guide x donor x condition
algorithm,Guide knockdown test,statistical_test,guide_kd_test,upstream,de_and_baseline_spec.md,upstream,Welch t vs condition-matched NTC
algorithm,kd_status causal gate,algorithm,kd_status,KD_THRESHOLD_VERSION=kd_status/v2,de_and_baseline_spec.md §3,core/kd_status.py,4 states; floor 0.001
