gene,n_conditions_significant,sign_consistency,n_cells_tier,evidence_strength,evidence_caveat
ACACA,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ACAD9,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ACLY,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ACOT7,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
AEBP2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
AMBRA1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ANKRD61,2,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ARHGAP27,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ATAD3A,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
BCL10,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
CALCOCO2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
CBLB,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
CBX5,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
CCND3,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
CD2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
CD247,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
