phase,module,category,dir,purpose,input_contract,output_contract,shared_deps,isolation_rule,freeze_kind,freeze_value,shape_or_filecount,validation_authority,status,frozen_at
P1_data_aggregation,01_raw_data,data,docs/mvp-research/pipeline/01_raw/data/,01_raw 資料:DE_stats + sgrna/sample metadata suppl tables,external GWT bioRxiv suppl table + public S3; no upstream module,DE_stats.suppl_table.csv = 33983x16 (16-col dictionary pinned in README_01_raw.md),none (leaf); read by 02_curated only,treat frozen; edit only to swap source then re-hash + re-pin all downstream,module_blob_sha256,4c492f5a75a06d1ae02f0a2968261d403261eb362cdf7c995a2e6c5eb8a33235,2 files,FREEZE_MANIFEST.csv (01_raw) + reproducibility_audit/parity_01_02.csv (re-verified MATCH at HEAD),OK,2026-07-12
P1_data_aggregation,01_raw_docs,doc,docs/mvp-research/pipeline/01_raw/,Raw stage derivation spec (README) + EDA,describes 01_raw data contract,README_01_raw.md + EDA_01_raw.md (16-col dictionary authority),documents DE_stats schema for all downstream,edit docs with any raw contract change; keep col dictionary in sync,module_blob_sha256,be9ef185a1a87f0b1c8dee00c02cd45005ddc78f73e671e2d3468e6cec2f2619,2 files,self (blob-sha set),OK,2026-07-12
P1_data_aggregation,marson2025_manifest,data,data/marson2025_data/,Manifest of Marson-lab GWT perturb-seq raw S3 drop (separate raw source for signed-DE track),external S3 genome-scale-tcell-perturb-seq,manifest.csv = 32x6 file inventory (path/size/checksum),consumed by signed_de_application (h5ad extraction on GB10),edit only to re-issue manifest when S3 drop changes; re-hash on change,module_blob_sha256,bcd572a8de2953187b91feb0e53caad7099abc45b9608918a8486da0e839d02d,1 files,self (md5) vs S3 listing,OK,2026-07-12
P1_data_aggregation,metadata,collection,metadata/,"External reference tables, curated gene lists, sgRNA libraries, supplementary tables (reference-data warehouse)","external only (published paper suppl files, HPA/CORUM/GWAS catalog, Marson sgRNA library)",AS-IS heterogeneous reference collection; per-file schema owned by originating publication,gene_lists/* & suppl_tables/* read by curation/enrichment/signed_de_application; sgrna_df_final.* cross-checked vs src/1_preprocess results,edit only under metadata/; read-only inputs; replacing a source re-pins code_blob_sha + re-validate downstream consumers,module_blob_sha256,24a8fb429d1130b817cd54dce395b95f4145baac0c0b136b8bce87791f380069,64 files,"self (dir blob-sha set); per-file schema = originating publication (metadata/README.md,data_sharing_readme.md)",OK,2026-07-12
P1_data_aggregation,sources,collection,sources/,Literature/landscape research outputs + target-tool evidence/pathway/overlay cache; single collected source,external only (PubMed/OpenAlex/ClinicalTrials/LINCS/gnomAD/GTEx/HPA/Reactome),AS-IS collection; no fixed row/schema contract; read-only opaque cache keyed by filename,"read-only by dashboard/target-card layer (_evidence/*.json,_pathway/*.json); _overlays/* also pinned in FREEZE_MANIFEST overlays",edit only under sources/; re-pin code_blob_sha on any add/edit; cannot affect stages 01-04 (never read here),module_blob_sha256,337e7524dac6af2e158d5b1dc0563f291426f5ec639dd20339720234312be23a,59 files,self (dir blob-sha set) + FREEZE_MANIFEST overlays rows,OK,2026-07-12
P2_preprocessing,02_curated_docs,doc,docs/mvp-research/pipeline/02_curated/,Curated stage derivation spec (README) + EDA,describes 02_curated transform (passes_gate/logDE formulas),README_02_curated.md + EDA_02_curated.md,documents gate/logDE semantics for downstream,edit docs with any curated contract change,module_blob_sha256,b22798b7ebcc579e2e9b46978826d3645f5503b7068627c558409ccef8611b91,2 files,self (blob-sha set),OK,2026-07-12
P2_preprocessing,02_curated_targets,data,docs/mvp-research/pipeline/02_curated/data/,Type-normalise + gate flags; keep all 33983 rows; add passes_gate + logDE (columns-only),01_raw/data/DE_stats.suppl_table.csv (33983x16),curated_targets.csv = 33983x18 (16 raw + passes_gate + logDE),raw schema; read by 03/04 and 05_visualization,edit curated transform + README only; regenerate; confirm 33983 rows + MD5; do not touch 03/04,module_blob_sha256,29998644ffcd4180790e7ad59bbcaba64f06b8b6ca8ef97212af1ca5f7f273f6,1 files,FREEZE_MANIFEST.csv (02_curated) + reproducibility_audit/parity_01_02.csv (supersedes policy 7b8fbe8c; re-verified MATCH),OK,2026-07-12
P2_preprocessing,03_processed_data,data,docs/mvp-research/pipeline/03_processed/data/,03_processed 資料:effect_matrix + de_matrix + gate_passing_targets,02_curated/data/curated_targets.csv (33983x18),de_matrix.csv = 11526x4; columns ordered Rest->Stim8hr->Stim48hr; NaN-for-missing,curated schema,edit pivot transform + README; preserve col order + NaN semantics,module_blob_sha256,40aec828a74e05d688c104a8bdf3b1f958078eb183675d84e34086aa0867c060,3 files,FREEZE_MANIFEST.csv (03_processed) + reproducibility_audit/parity_03.csv (supersedes policy 6b2ed5e5; re-verified MATCH),OK,2026-07-12
P2_preprocessing,03_processed_docs,doc,docs/mvp-research/pipeline/03_processed/,Processed stage derivation spec (README) + EDA,describes pivot/subset transforms + condition ordering,README_03_processed.md + EDA_03_processed.md,documents matrix shapes/col order for downstream,edit docs with any processed contract change,module_blob_sha256,4e9b48cf5233d6297118fa9ead88473087c383c82ba43905d3e570c8af64dbce,2 files,self (blob-sha set),OK,2026-07-12
P2_preprocessing,src/1_preprocess,code,src/1_preprocess/,"Type normalisation, QC gating, guide-effect estimation, sgRNA->gene annotation","raw count matrices (S3/GB10, out of repo) + metadata/ tables + sample lists",CODE MODULE - freeze=git blob-sha set; no single data contract; committed results/*.parquet reproducible from code (canonical copy=metadata/sgrna_df_final.*),"metadata/sgRNA_library_curated.csv, metadata/sgrna_df_final.*, environment.yaml, src/utils.py",self-contained numbered stage; no sibling src/N_* imports; share via written artifacts,module_blob_sha256,6b401829c48e9eef2f774d86cc8d35d212ce6ec9e47972c979637a8a95caeee9,30 files,self (dir blob-sha set); produced sgRNA table cross-checked vs metadata/sgrna_df_final.parquet,OK,2026-07-12
