asset_type,identifier,title_or_content,notes
main_fig,Figure 1,"Genome-scale perturb-seq experimental design and quality control — Study design of genome-scale CRISPRi perturb-seq in primary CD4+ T cells from 4 donors across Rest/Stim8hr/Stim48hr; cell counts per sample passing QC, knock-down efficiency, comparison vs arrayed RNA-seq and FACS screens, power analysis.",in-text figure (bioRxiv PDF); high-res source notebooks in GitHub repo
main_fig,Figure 2,Mapping regulators of cytokines in primary CD4+ T cells — Heatmap of DE effects (LFC z-score) of 1556 regulators with significant trans-effects on 30 cytokines in Rest and Stim8hr; cytokine-regulator overview and arrayed validation (e.g. IL10/IL21).,in-text figure (bioRxiv PDF); high-res source notebooks in GitHub repo
main_fig,Figure 3,"Functional gene programs of CD4+ T cells across conditions — Clustering of 3341 strong perturbations into regulator clusters; condition specificity, complex/pathway enrichment (e.g. Cluster 28 mitochondrial), downstream gene programs, T cell activation regulators.",in-text figure (bioRxiv PDF); high-res source notebooks in GitHub repo
main_fig,Figure 4,Predicting regulators of CD4+ T cell polarization — pert2state linear model mapping observational Th2/Th1 bulk RNA-seq signatures onto perturbation effects; volcano of Th2/Th1 signature; nominated Th1/Th2 polarization regulators.,in-text figure (bioRxiv PDF); high-res source notebooks in GitHub repo
main_fig,Figure 5,Predicting candidate regulators of CD4+ T cell aging from a population-scale cell atlas — OneK1K scRNA-seq aging signature (DE with age across CD4+ T subsets); volcano of aging signature; nominated regulators of aging via pert2state model.,in-text figure (bioRxiv PDF); high-res source notebooks in GitHub repo
main_fig,Figure 6,Context-specific regulatory effects in perturb-seq explain genetic association signals on lymphocyte counts — Regulator-LoF burden correlation analysis (UKBB) nominating putative 'core' genes for lymphocyte-count traits; signed Q-Q plots.,in-text figure (bioRxiv PDF); high-res source notebooks in GitHub repo
main_fig,Figure 7,Regulation of autoimmune-associated genes — Enrichment of GWAS-evidence genes (Open Targets) for autoimmune vs control diseases in regulators and downstream genes per cluster; context-specific autoimmune regulatory pathways.,in-text figure (bioRxiv PDF); high-res source notebooks in GitHub repo
supp_fig,Supplementary Figure 1,Study design and QC metrics,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 2,Knock-down efficiency estimates,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 3,Cell state variation in non-targeting control CD4+ T cells,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 4,Quality control of perturbation effects quantified by differential expression,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 5,Robustness of perturbation effects across donors,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 6,Trans-effects of genetic perturbations,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 7,Comparison with trans-effects in K562 genome-wide screen,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 8,Power analysis for perturb-seq dataset,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 9,Power analysis results for each perturbed gene,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 10,Overview of trans-effects on 30 cytokines,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 11,Arrayed validation of IL10/IL21 regulation,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 12,IL10/IL21 arrayed validation flow cytometry plots,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 13,Tissue-specific expression patterns of gene clusters with/without gene set enrichment,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 14,Condition specificity of regulator clusters,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 15,Gene Ontology enrichment of downstream genes,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 16,Predicting regulators of Th2/Th1 polarization,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 17,Effect of predicted polarization regulators on Th1 and Th2 genes,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 18,Predicting regulators of Th2/Th1 polarization across CD4+ T conditions,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 19,Differential expression analysis of age-associated genes in CD4+ T cell subsets,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 20,Predicting regulators of CD4+ T cell aging signatures,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 21,Predicted regulators of CD4+ T cell aging signature,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 22,Regulator-burden correlation on lymphocyte traits,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 23,GWAS gene enrichment analysis across regulator clusters,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_fig,Supplementary Figure 24,Enrichment of autoimmune disease GWAS genes across regulatory clusters and their downstream targets,listed in repo metadata/figure_map.md; generated by named analysis notebooks
