id,batch_file,panel,title_zh,fields,description,interpretation,cognitive_load,data_source
D1,gallery_1,Violin,效應廣度分佈（小提琴圖）,"['n_total_de_genes', 'culture_condition']",三個培養條件下，每個標的的下游 DE 基因數（log 尺度）的分佈密度。,小提琴的寬度代表在該效應廣度上有多少標的。可看出絕大多數標的效應微弱（底部膨大），少數標的效應極廣（尾巴）。三條件形狀相似說明分佈本質穩定。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
D2,gallery_1,Box,效應廣度分佈（箱型圖）,"['n_total_de_genes', 'culture_condition']",同小提琴圖，但以中位數、四分位距呈現，更精簡。,適合快速比較三條件的中位效應。中位數都很低（<10 DE 基因）反映多數擾動無廣泛效應——這是全基因體篩選的預期特性。,1,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
D3,gallery_1,Ridgeline,堆疊密度（Ridgeline）,"['n_total_de_genes', 'culture_condition']",三條件密度曲線垂直錯開堆疊，避免重疊遮擋。,當條件數多時（未來擴充更多時間點）比重疊直方圖更清楚。用於呈現分佈隨條件的漸變。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
D4,gallery_1,Histogram,效應廣度直方圖（疊合）,"['n_total_de_genes', 'culture_condition']",三條件的效應廣度直方圖疊合呈現。,顯示絕對計數而非密度。可看出通過門檻的標的（右側高值）在絕對數量上是少數。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
D5,gallery_1,ECDF,累積分佈（ECDF）,"['n_total_de_genes', 'culture_condition']",累積比例曲線：x 軸某值以下的標的佔比。,可直接讀出「效應廣度 ≥ 某閾值的標的有多少百分比」。約 76% 標的的 log DE < 1（即 <10 個 DE 基因），反映多數擾動效應微弱——這是門檻設定的依據。,3,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
D6,gallery_1,Strip,散點抖動圖（Strip）,"['n_total_de_genes', 'culture_condition']",每個標的一個點，水平抖動避免重疊（各條件抽樣 400）。,保留個別資料點的圖，適合小樣本或想看離群值。此處抽樣後用於示範，完整資料應改用密度圖避免過度繪製。,3,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
M1,gallery_2,Correlation heatmap,特徵相關性熱圖,['7 個數值特徵'],7 個數值特徵兩兩相關係數矩陣（Pearson）。,揭露欄位冗餘：n_total_de_genes 與 n_downstream 相關 1.00（幾乎重複）；n_up/n_down/n_total 高度相關。建模或視覺化時應擇一，避免重複計入同一訊號。,3,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
M2,gallery_2,Clustered heatmap,階層聚類熱圖（z-score）,['top 標的 × 7 特徵'],top 標的的特徵矩陣（z 標準化），列以 ward 階層聚類排序。,同時看多個標的在多個特徵上的模式。聚類把行為相似的標的排在一起——broad-effect 基因會自然聚成一群。,4,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
M3,gallery_2,Hexbin,六角密度圖（Hexbin）,"['ontarget_effect_size', 'n_total_de_genes']",敲低效應 vs 效應廣度的密度（六角格計數）。,當點數過多（33k）時取代散點圖，避免過度繪製。顏色深淺=該區域標的密度。可看出多數標的集中在弱效應區。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
M4,gallery_2,2D density,二維密度散點,"['ontarget_effect_size', 'n_total_de_genes']",同 hexbin 的資訊，但以連續核密度著色每個點。,保留個別點位置又加上密度資訊。適合中等點數。與 hexbin 二選一。,3,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
