id,title,family,filename,version_id,what
C1,3D dot plot 三合一,降維與複合族,C1_dotplot.png,58d1ca82-18a0-4fcf-9695-56ab3ab6f57e,"Static 3-in-1 dot plot: 15 genes (rows) × 3 conditions (cols); dot color = signed effect (RdBu_r, 0-centered), dot size = DE-gene count. All effects negative (knockdowns)."
C2,Volcano 火山圖,降維與複合族,C2_pseudovolcano.png,b600c45e-fcea-48c9-af1e-dc95cae575e9,"Pseudo-volcano (title states no p-value): effect size vs log10 DE-gene count, colored by condition; off-target-flagged rows drawn as open grey excluded markers (§1.1); 50-DE gate line; 8 unique extreme genes labeled."
C3,QC funnel 篩選漏斗,降維與複合族,C3_funnel.png,351c5b08-ea9b-4dbd-a695-bdc94fd3316b,"QC funnel centered bars: 33,983 → ≥200 cells 30,515 → significant 19,297 → no off-target 16,998 → ≥50 DE genes 2,131 (6.3%); reconciles exactly to passes_gate."
D1,Violin 小提琴圖,分佈族,D1_violin.png,19269b88-e5ff-4a18-b401-2894bff5f184,"小提琴圖：三條件(Rest/Stim8hr/Stim48hr)的 logDE=log10(n_total_de_genes+1) 分佈，含中位/IQR。offtarget_flag 列已排除，n=10,344/10,423/10,379。"
D10,Q-Q plot 常態檢查,分佈族,D10_qq.png,7e46927a-0384-4461-b917-2b755b2af181,"Q-Q 常態檢查：三條件 ontarget_effect_size(真實顯著敲低,非零) vs 常態分位數，R²≈0.90，尾端脫離顯示左偏重尾非常態。"
D2,Box 箱型圖,分佈族,D2_box.png,f61466cc-b627-462c-9831-30f8ff8183e0,箱型圖：同 logDE 三條件並排，中位皆 2 個 DE 基因；離群點以淡灰散點表示。
D3,Ridgeline 堆疊密度,分佈族,D3_ridgeline.png,8d897acd-1260-410f-b3fd-1346dd3905fb,堆疊密度(ridgeline)：三條件 logDE 密度曲線 + 中位線，形狀高度重疊。
D4,Histogram 直方圖,分佈族,D4_histogram.png,3a3f07ec-18d5-4e79-9468-87dd7e95db16,直方圖(step)：三條件 logDE 計數分佈，強烈右偏且三線幾乎完全重合。
D5,ECDF 累積分佈,分佈族,D5_ecdf.png,18ccf225-c93b-4f73-804c-56f184433039,ECDF 累積分佈：三條件 logDE，標註 76.7%(所繪 offtarget-排除集)標的下游 DE≤8 基因(即 logDE<1)的位置。
D6,Strip 抖動散點,分佈族,D6_strip.png,37131339-e868-423e-b66b-3dfe8a29e964,抖動散點(strip)：15 個 shortlist 基因的 ontarget_effect_size 依三條件分組 + 中位橫線；n=14/13/15。
D7,Swarm 蜂群圖,分佈族,D7_swarm.png,173f4f7a-5273-4f2e-81d6-f0145d7ef13b,蜂群圖(swarm)：同 shortlist 效應量非重疊佈局 + 中位橫線，密度反映敲低強度分佈。
D8,Raincloud 雨雲圖,分佈族,D8_raincloud.png,d224a787-4aeb-48c3-b25f-a250fc681118,雨雲圖：三條件 logDE 的半小提琴(雲)+箱(5–95%鬚)+抖動點(雨)三層合一。
D9,1D KDE 密度曲線,分佈族,D9_kde.png,2665941c-ad70-4b53-9eac-c8df222c9d82,"1D KDE 密度曲線疊圖：三條件 logDE 平滑密度，三線重合；最常見值為 1 個下游 DE 基因(n_total_de_genes=1，count=7,316，為單一眾數)，密度峰在所繪軸(DE+1)約 2.2–2.3 處。"
H1,Treemap 矩形樹圖,階層互動族,H1_treemap.png,b4785f9d-b770-4dde-bb01-d197200b628e,"矩形樹圖。欄=culture_condition，內層=ontarget_effect_category，面積∝DE統計列數(全圖n=33,983)。on-target敲低約62%、三條件結構一致；疑似off-target(全體384列,約1%)以紅框斜線帶+引線標籤標出，caption已明確區分全圖總數與off-target子集數。"
H2,Sunburst 放射階層,階層互動族,H2_sunburst.png,32ae2852-73c9-4da2-83ad-44bb1237ef7c,放射階層(sunburst)。內環=培養條件、外環=on-target效應類別，扇角∝列數。三條件效應類別組成幾乎相同。
H3,Icicle 冰柱階層,階層互動族,H3_icicle.png,897be4fb-c9f6-4d5d-b241-3a5051fd49c9,"冰柱階層。三層由左至右：全部→culture_condition→ontarget_effect_category，矩形高∝列數。逐層拆分 33,983 列。"
H4,Sankey 流向圖,階層互動族,H4_sankey.png,5de11133-6ebe-4dab-b6be-ed383c7bdd1d,"流向圖(手繪流帶)。四道門檻篩選級聯：全部→細胞數≥200→顯著on-target→無off-target→DE基因≥50。藍帶保留、灰帶淘汰，33,983→2,131。"
H5,Funnel 互動漏斗,階層互動族,H5_funnel.png,1adc47b8-aec4-43fe-a04e-6a6dcd4ef11a,互動漏斗靜態版。同一四關篩選，居中漏斗顯示各關列數、佔全體%與逐關保留率；DE基因≥50為最嚴一關(保留約13%)。
